idx,project,filename,window_start,window_end,label,logits
24376,MARS_20160101_20160131_32kHz,MARS_20160112_130820_resampled_32kHz.wav,100.0,105.0,orca_call,1.0607921
24377,MARS_20160101_20160131_32kHz,MARS_20160112_130820_resampled_32kHz.wav,105.0,110.0,orca_call,0.36272025
24976,MARS_20160101_20160131_32kHz,MARS_20160112_020820_resampled_32kHz.wav,100.0,105.0,orca_call,1.7384117
24998,MARS_20160101_20160131_32kHz,MARS_20160112_020820_resampled_32kHz.wav,210.0,215.0,orca_call,0.18302606
25029,MARS_20160101_20160131_32kHz,MARS_20160112_020820_resampled_32kHz.wav,365.0,370.0,orca_call,1.1333758
25075,MARS_20160101_20160131_32kHz,MARS_20160112_020820_resampled_32kHz.wav,595.0,600.0,orca_call,1.069234
38432,MARS_20160101_20160131_32kHz,MARS_20160112_134820_resampled_32kHz.wav,180.0,185.0,orca_call,1.046427
38440,MARS_20160101_20160131_32kHz,MARS_20160112_134820_resampled_32kHz.wav,220.0,225.0,orca_call,0.8713944
42985,MARS_20160101_20160131_32kHz,MARS_20160119_070820_resampled_32kHz.wav,145.0,150.0,orca_call,1.0829271
42991,MARS_20160101_20160131_32kHz,MARS_20160119_070820_resampled_32kHz.wav,175.0,180.0,orca_call,0.25605184
43003,MARS_20160101_20160131_32kHz,MARS_20160119_070820_resampled_32kHz.wav,235.0,240.0,orca_call,0.74885714
49327,MARS_20160101_20160131_32kHz,MARS_20160105_231435_resampled_32kHz.wav,55.0,60.0,orca_call,0.20411147
49370,MARS_20160101_20160131_32kHz,MARS_20160105_231435_resampled_32kHz.wav,270.0,275.0,orca_call,0.8711225
58750,MARS_20160101_20160131_32kHz,MARS_20160112_042820_resampled_32kHz.wav,15.0,20.0,orca_call,0.7896423
58788,MARS_20160101_20160131_32kHz,MARS_20160112_042820_resampled_32kHz.wav,205.0,210.0,orca_call,2.319694
58790,MARS_20160101_20160131_32kHz,MARS_20160112_042820_resampled_32kHz.wav,215.0,220.0,orca_call,0.92432094
58791,MARS_20160101_20160131_32kHz,MARS_20160112_042820_resampled_32kHz.wav,220.0,225.0,orca_call,0.88065386
58792,MARS_20160101_20160131_32kHz,MARS_20160112_042820_resampled_32kHz.wav,225.0,230.0,orca_call,1.6977257
58795,MARS_20160101_20160131_32kHz,MARS_20160112_042820_resampled_32kHz.wav,240.0,245.0,orca_call,2.2543468
58796,MARS_20160101_20160131_32kHz,MARS_20160112_042820_resampled_32kHz.wav,245.0,250.0,orca_call,2.635665
58799,MARS_20160101_20160131_32kHz,MARS_20160112_042820_resampled_32kHz.wav,260.0,265.0,orca_call,1.9253297
63840,MARS_20160101_20160131_32kHz,MARS_20160112_034820_resampled_32kHz.wav,250.0,255.0,orca_call,4.691535
63841,MARS_20160101_20160131_32kHz,MARS_20160112_034820_resampled_32kHz.wav,255.0,260.0,orca_call,2.0543754
67509,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,0.0,5.0,orca_call,1.4610683
67510,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,5.0,10.0,orca_call,2.4429204
67511,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,10.0,15.0,orca_call,3.5772865
67513,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,20.0,25.0,orca_call,1.0839367
67514,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,25.0,30.0,orca_call,1.2183874
67517,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,40.0,45.0,orca_call,1.022836
67520,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,55.0,60.0,orca_call,3.4157436
67524,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,75.0,80.0,orca_call,0.6159033
67526,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,85.0,90.0,orca_call,3.5771313
67588,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,395.0,400.0,orca_call,1.7901928
67612,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,515.0,520.0,orca_call,0.6573349
67613,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,520.0,525.0,orca_call,0.90687275
67615,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,530.0,535.0,orca_call,0.09531771
67616,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,535.0,540.0,orca_call,3.4958837
67625,MARS_20160101_20160131_32kHz,MARS_20160112_060820_resampled_32kHz.wav,580.0,585.0,orca_call,1.5753022
79910,MARS_20160101_20160131_32kHz,MARS_20160112_004820_resampled_32kHz.wav,205.0,210.0,orca_call,0.43340445
94417,MARS_20160101_20160131_32kHz,MARS_20160125_221405_resampled_32kHz.wav,20.0,25.0,orca_call,0.45109123
94422,MARS_20160101_20160131_32kHz,MARS_20160125_221405_resampled_32kHz.wav,45.0,50.0,orca_call,0.019774422
95331,MARS_20160101_20160131_32kHz,MARS_20160112_124820_resampled_32kHz.wav,390.0,395.0,orca_call,0.62113976
95332,MARS_20160101_20160131_32kHz,MARS_20160112_124820_resampled_32kHz.wav,395.0,400.0,orca_call,0.38055027
95337,MARS_20160101_20160131_32kHz,MARS_20160112_124820_resampled_32kHz.wav,420.0,425.0,orca_call,0.025750905
95340,MARS_20160101_20160131_32kHz,MARS_20160112_124820_resampled_32kHz.wav,435.0,440.0,orca_call,0.19494961
95345,MARS_20160101_20160131_32kHz,MARS_20160112_124820_resampled_32kHz.wav,460.0,465.0,orca_call,0.21479975
95348,MARS_20160101_20160131_32kHz,MARS_20160112_124820_resampled_32kHz.wav,475.0,480.0,orca_call,0.81747824
95361,MARS_20160101_20160131_32kHz,MARS_20160112_124820_resampled_32kHz.wav,540.0,545.0,orca_call,0.07512353
95364,MARS_20160101_20160131_32kHz,MARS_20160112_124820_resampled_32kHz.wav,555.0,560.0,orca_call,0.8133275
95706,MARS_20160101_20160131_32kHz,MARS_20160116_124820_resampled_32kHz.wav,465.0,470.0,orca_call,0.86900425
107532,MARS_20160101_20160131_32kHz,MARS_20160105_230435_resampled_32kHz.wav,230.0,235.0,orca_call,1.1877383
114061,MARS_20160101_20160131_32kHz,MARS_20160112_100820_resampled_32kHz.wav,275.0,280.0,orca_call,0.6072638
114062,MARS_20160101_20160131_32kHz,MARS_20160112_100820_resampled_32kHz.wav,280.0,285.0,orca_call,0.7325671
114063,MARS_20160101_20160131_32kHz,MARS_20160112_100820_resampled_32kHz.wav,285.0,290.0,orca_call,0.9427185
126754,MARS_20160101_20160131_32kHz,MARS_20160125_222405_resampled_32kHz.wav,50.0,55.0,orca_call,0.38644052
126806,MARS_20160101_20160131_32kHz,MARS_20160125_222405_resampled_32kHz.wav,310.0,315.0,orca_call,1.3096724
134731,MARS_20160101_20160131_32kHz,MARS_20160112_023820_resampled_32kHz.wav,335.0,340.0,orca_call,0.8265461
