date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2015-12-01,144,86300.0,23.97,17260,99.9,1,COMPLETE
2015-12-02,132,79200.0,22.00,15840,91.7,0,NEAR-COMPLETE
2015-12-03,144,86365.0,23.99,17273,100.0,1,COMPLETE
2015-12-04,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-05,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-06,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-07,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-08,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-09,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-10,144,86240.0,23.96,17248,99.8,1,COMPLETE
2015-12-11,115,69000.0,19.17,13800,79.9,0,PARTIAL
2015-12-12,144,85915.0,23.87,17183,99.4,1,NEAR-COMPLETE
2015-12-13,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-14,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-15,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-16,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-17,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-18,151,84006.0,23.34,16804,97.2,12,NEAR-COMPLETE
2015-12-19,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-20,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-22,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-23,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-24,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-25,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-26,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-27,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-29,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-12-30,144,86219.0,23.95,17243,99.8,1,COMPLETE
2015-12-31,117,69161.0,19.21,13831,80.0,2,PARTIAL
